[cam] Starting on /dev/video0
[cam] Interval: 3.0s
[cam] Les IAs voient...

[cam] 16:28:34 - captured
[cam] 16:28:38 - captured
[cam] 16:28:42 - captured
[cam] 16:28:47 - captured
[cam] 16:28:51 - captured
[cam] 16:28:55 - captured
[cam] 16:29:00 - captured
[cam] 16:29:04 - captured
[cam] 16:29:08 - captured
[cam] 16:29:13 - captured
[cam] 16:29:17 - captured
[cam] 16:29:21 - captured
[cam] 16:29:26 - captured
[cam] 16:29:30 - captured
[cam] 16:29:34 - captured
[cam] 16:29:39 - captured
[cam] 16:29:43 - captured
[cam] 16:29:48 - captured
[cam] 16:29:52 - captured
[cam] 16:29:57 - captured
[cam] 16:30:02 - captured
[cam] 16:30:06 - captured
[cam] 16:30:11 - captured
[cam] 16:30:15 - captured
[cam] 16:30:20 - captured
[cam] 16:30:25 - captured
[cam] 16:30:29 - captured
[cam] 16:30:34 - captured
[cam] 16:30:39 - captured
[cam] 16:30:43 - captured
[cam] 16:30:48 - captured
