[feel] Using monitor: alsa_output.pci-0000_c1_00.6.HiFi__Speaker__sink.monitor
[feel] Ressentir la musique...

[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
[chill       ] E:                     G:                     | ~ floating ~ | 🌊 vibing
