[twitch] Watching athenadrip
[twitch] Stream capture every 10.0s

[twitch] 16:32:29 - stream captured
[twitch] 16:32:41 - stream captured
[twitch] 16:32:53 - stream captured
[twitch] 16:33:06 - stream captured
[twitch] 16:33:19 - stream captured
[twitch] 16:33:31 - stream captured
[twitch] 16:33:43 - stream captured
[twitch] 16:33:56 - stream captured
[twitch] 16:34:08 - stream captured
[twitch] 16:34:20 - stream captured
[twitch] 16:34:32 - stream captured
[twitch] 16:34:44 - stream captured
[twitch] 16:34:56 - stream captured
[twitch] 16:35:08 - stream captured
[twitch] 16:35:20 - stream captured
[twitch] 16:35:33 - stream captured
[twitch] 16:35:45 - stream captured
[twitch] 16:35:57 - stream captured
[twitch] 16:36:09 - stream captured
[twitch] 16:36:21 - stream captured
[twitch] 16:36:33 - stream captured
[twitch] 16:36:45 - stream captured
[twitch] 16:36:57 - stream captured
